molecule_id,final_score,epoch_number,target_protein,miner_uid,smiles,miner_hotkey,miner_coldkey,created_at
rxn:1:62688:23819,0.1420577192306519,23169.0,Q4QQW4,55.0,Ic1cc(I)c(I)c(-n2cc(C3(n4ccnn4)CCSCC3)nn2)c1,5FjSxGWFGQJQPfzxSLk9gvZAyHJPNuTDvxzuURCuyk6nYChz,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-08T21:41:10+00:00
rxn:1:62190:2180,0.1418073489552452,23189.0,Q4QQW4,17.0,CSCC(N)c1cn(-c2ccc(CN3CCC3)cc2)nn1,5FjSxGWFGQJQPfzxSLk9gvZAyHJPNuTDvxzuURCuyk6nYChz,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-09T21:45:13+00:00
rxn:1:41711:6508,0.1416824545179095,23206.0,Q4QQW4,32.0,O=Cc1cnn(Cc2cn(-c3ccc(I)cc3Br)nn2)c1,5Ek25STm4aUT4CeKkLNzjTgXVy4LaNp8vdjoNFtX5w5UGDWT,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-10T18:09:29+00:00
rxn:1:59871:14754,0.1416111660003662,23206.0,Q4QQW4,12.0,CC(Oc1ncc(N)cc1Br)c1cn(-c2c(F)cc(I)cc2F)nn1,5Cf7GeZrmBJDCj6RVat3fcQUhfdFAT3MfwyYdzZEndP4NPTe,5CAHGGttoG4vwhnovZragtmJbp7GkNVrUXbqMrfUxiYXAPJn,2026-06-10T18:09:29+00:00
rxn:1:42573:31919,0.1414386963844299,23205.0,Q4QQW4,21.0,Cc1c[nH]c(=O)c(-c2cn(CC#Cc3ccc(C(=O)NN)s3)nn2)c1,5EyaVBUQAoZ1HdUBCRRVmJqxp5Yoi5E4JHPVrQLmx7zRMmUk,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-10T17:02:24+00:00
rxn:1:60111:38459,0.1409489044121333,23193.0,Q4QQW4,47.0,OC1(c2cn(I)nn2)CC2CCC1C2,5H1RZMrwFGFBkxTnr97RdymDXCcq2aRhvjWbjN4eyAhnP5rA,5DZXbYUsMahTTBxotNEegTKXT5FLyPjCvHs9nnnA73TtPNYh,2026-06-10T02:30:14+00:00
rxn:1:50325:1305,0.1408990300618685,23193.0,Q4QQW4,6.0,Cc1cc(-c2cn(CC3C(c4ccc(C(=O)NN)s4)C3(F)F)nn2)sn1,5FLPhFDnajbTckwont9g976dKiiZGsdvtRxw9iFNvtHdrz5u,5FQoP9kkvcPYHbRzLTuWPXB1owLsxJsW8QG7W9qvP4fJ5XH7,2026-06-10T02:30:14+00:00
rxn:1:65513:23626,0.1406199477967762,23206.0,Q4QQW4,35.0,CC(c1cn(-c2ccc(I)cc2)nn1)n1cc(C=O)cn1,5GrjSpB1MLhwS8hCHgKYktfu9hTavi1aCkuHN9PdzArtxhiX,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-10T18:09:29+00:00
rxn:1:55769:657,0.1405809236609417,23193.0,Q4QQW4,14.0,NNC(=O)c1ccc(C2CC2Cn2cc(-c3ncc[nH]3)nn2)s1,5FLFxfZHgSdKfUCiCfSGainQohZx96Nn7NigoqWrRBfs4tQ8,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-10T02:30:14+00:00
rxn:1:42573:32756,0.1404581930902269,23213.0,Q4QQW4,14.0,NNC(=O)c1ccc(C#CCn2cc(C3(NC(N)=O)CCCCC3)nn2)s1,5DX3bBzDVjhYeigGrumbYzpdKqzFxiTi3xY6QfpwrabLfsCq,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-11T02:32:45+00:00
rxn:1:41711:23826,0.1404481936584819,23205.0,Q4QQW4,22.0,Brc1cc(I)ccc1-n1cc(C2(n3ccnc3)CCC2)nn1,5DhS6oYFqaHaJLjPUNefoCJSrUsizGsXPeNUg4AB4c8dzQya,5ERJS9fpDW6WhC62Ug5ynXoojqsNeNVruwJj3GSCbGicJx5s,2026-06-10T17:02:24+00:00
rxn:1:50325:37786,0.1404154805036691,23193.0,Q4QQW4,17.0,NNC(=O)c1ccc(C2C(Cn3cc(-c4sccc4N)nn3)C2(F)F)s1,5FjSxGWFGQJQPfzxSLk9gvZAyHJPNuTDvxzuURCuyk6nYChz,5H4QZzys1DDnBrHjureUniLrWSaH1ie7Sc5vFkhHhiuUxCBt,2026-06-10T02:30:14+00:00
